latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.497364,126.53465,63.0,32400,Asia/Seoul,GMT+9

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),cloud_cover (%),shortwave_radiation (W/m²),wind_speed_10m (km/h),wind_direction_10m (°)
2025-03-01T00:00,7.7,92,0.00,33,0.0,2.1,200
2025-03-01T01:00,7.8,92,0.00,21,0.0,0.5,180
2025-03-01T02:00,8.0,88,0.00,26,0.0,0.2,180
2025-03-01T03:00,8.1,85,0.00,23,0.0,0.9,169
2025-03-01T04:00,8.1,83,0.00,53,0.0,1.1,162
2025-03-01T05:00,9.1,83,0.00,96,0.0,1.4,157
2025-03-01T06:00,10.3,80,0.00,95,0.0,1.6,153
2025-03-01T07:00,10.7,80,0.00,99,0.0,2.6,155
2025-03-01T08:00,11.4,83,0.00,82,20.0,3.3,174
2025-03-01T09:00,13.1,85,0.00,100,77.0,5.3,237
2025-03-01T10:00,15.1,83,0.10,43,226.0,4.5,124
2025-03-01T11:00,16.6,83,0.30,97,347.0,1.8,336
2025-03-01T12:00,16.2,89,0.00,99,276.0,2.3,18
2025-03-01T13:00,17.2,90,0.10,57,375.0,3.9,28
2025-03-01T14:00,18.4,88,0.00,95,412.0,3.7,55
2025-03-01T15:00,18.2,92,0.10,67,298.0,7.2,342
2025-03-01T16:00,17.2,99,1.60,92,296.0,2.7,352
2025-03-01T17:00,17.2,99,0.20,95,125.0,4.2,97
2025-03-01T18:00,17.0,98,0.00,100,59.0,4.9,163
2025-03-01T19:00,17.1,93,0.00,100,5.0,9.2,187
2025-03-01T20:00,17.5,92,0.00,100,0.0,11.9,191
2025-03-01T21:00,17.3,92,0.00,100,0.0,9.0,181
2025-03-01T22:00,16.0,94,1.10,100,0.0,8.8,182
2025-03-01T23:00,16.5,93,0.00,97,0.0,9.2,178
2025-03-02T00:00,16.4,93,0.00,95,0.0,7.3,171
2025-03-02T01:00,16.2,92,0.00,100,0.0,7.7,164
2025-03-02T02:00,16.1,91,0.00,100,0.0,6.8,162
2025-03-02T03:00,15.9,91,0.00,100,0.0,4.8,149
2025-03-02T04:00,15.1,92,0.00,100,0.0,2.7,132
2025-03-02T05:00,14.8,93,0.00,100,0.0,1.9,146
2025-03-02T06:00,15.5,91,0.00,97,0.0,5.2,166
2025-03-02T07:00,15.6,91,0.00,100,0.0,4.7,148
2025-03-02T08:00,15.8,92,0.00,100,16.0,7.8,136
2025-03-02T09:00,16.4,96,0.00,94,71.0,8.5,128
2025-03-02T10:00,19.1,92,0.00,18,232.0,6.9,129
2025-03-02T11:00,20.7,86,0.00,35,413.0,3.9,74
2025-03-02T12:00,20.7,91,0.10,100,518.0,5.2,56
2025-03-02T13:00,18.6,100,1.20,100,219.0,2.2,66
2025-03-02T14:00,18.8,100,0.40,100,283.0,4.8,11
2025-03-02T15:00,17.7,100,0.70,100,135.0,4.6,21
2025-03-02T16:00,17.9,98,0.40,100,202.0,5.2,70
2025-03-02T17:00,18.2,98,0.80,92,121.0,4.7,72
2025-03-02T18:00,17.5,100,2.10,99,75.0,6.2,75
2025-03-02T19:00,16.9,100,0.10,99,4.0,3.9,124
2025-03-02T20:00,16.3,100,0.80,100,0.0,1.8,204
2025-03-02T21:00,17.0,97,0.10,100,0.0,3.9,143
2025-03-02T22:00,16.8,98,0.40,100,0.0,1.7,122
